"Citation Key","First Author","Other Authors","Affiliation","Title","Year","Publisher / Journal","Volume / Issue","Pages","Extra Notes","ISBN"
"Hill ’79","Banu Musa brothers","",,"The book of ingenious devices (Kitab al-hiyal)","1979","Springer","","p. 44","Translated by D. R. Hill; (9th century origin)","90-277-0833-9"
"Wiener ’48","N. Wiener","","MIT (US)","Time, communication, and the nervous system","1948","Annals of the N.Y. Acad. Sci.","50 (4)","197-219","",""
"Fuegi ’03","J. Fuegi","J. Francis",,"Lovelace & Babbage and the creation of the 1843 'notes'","2003","IEEE Annals of the History of Computing","25(4)","16-26","",""
"Kagermann ‘11","H. Kagermann","W. D. Lukas; W. Wahlster","acatech – National Academy of Science and Engineering (DE)","Industrie 4.0: Mit dem Internet der Dinge auf dem Weg zur 4. industriellen Revolution","2011","VDI nachrichten","13(1)","2-3","",""
"Hey ’09","T. Hey","S. Tansley; K. M. Tolle","UK Science and Technology Facilities Council","The Fourth Paradigm: Data-Intensive Scientific Discovery","2009","Microsoft Research","Vol. 1","","",""
"Mitchell ’97","T.M. Mitchell","","Carnegie Mellon University (US)","Machine Learning","1997","McGraw Hill","","","",""
"Géron ‘19","A. Géron","",,"Hands-on Machine Learning with Scikit-Learn and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems","2019","O’Reilly","2nd Edition","","",""
"Bayes ‘63","T. Bayes","",,"LII. An Essay Towards Solving a Problem in the Doctrine of Chances","1763","Philosophical transactions of the Royal Society of London","(53)","370-418","By the late Rev. Mr. Bayes, FRS communicated by Mr. Price, in a letter to John Canton, AMFR S.",""
"Provost ‘13","F. Provost","T. Fawcett","New York University (US)","Data Science for Business: What you need to know about data mining and data-analytic thinking","2013","O'Reilly Media, Inc.","","","",""
"Russell ’21","S. Russell","P. Norvig","University of California at Berkeley (US)","Artificial intelligence: A Modern Approach","2021","Prentice Hall","4th Edition","","",""
"Chapmann ’17","J. Chapmann","",,"Machine Learning: Fundamental Algorithms for Supervised and Unsupervised Learning With Real-World Applications","2017","","","","",""
"Knuth ‘97","D. E. Knuth","","Stanford University (US)","The Art of Computer Programming","1997","Pearson Education","Vol. 1","","",""
"Bhargava ‘16","A. Bhargava","","Etsy (US)","Grokking Algorithms: An illustrated guide for programmers and other curious people","2016","Manning Publications Co.","","","",""
"Han ‘11","J. Han","J. Pei; M. Kamber","University of Illinois at Urbana–Champaign (US)","Data Mining: Concepts and Techniques","2011","Elsevier","3rd Edition","","",""
"Allen ‘83","J. F. Allen","","University of Rochester (US)","Maintaining knowledge about temporal intervals","1983","Communications of the ACM","26(11)","832-843","",""
"Schneider ‘19","S. Schneider","A. Baevski; R. Collobert; M. Auli","Facebook AI Research (US)","wav2vec: Unsupervised pre-training for speech recognition","2019","arXiv preprint","arXiv:1904.05862","","",""
"Wolpert ’97","D.H. Wolpert","W.G. Macready","NASA Ames Research Center (US)","No Free Lunch Theorems for Optimization","1997","IEEE Transactions on Evolutionary Computation","1","67","",""
"Topol ’19","E. Topol","","Scripps Research (US)","Deep medicine: how artificial intelligence can make healthcare human again","2019","Hachette UK","","","",""
"Zheng ’18","A. Zheng","A. Casari",,"Feature Engineering for Machine Learning: Principles and Techniques for Data Scientists","2018","O'Reilly Media, Inc.","","","",""
"Deisenroth ‘19","M.P. Deisenroth","A. Faisal; C.S. Ong","University College London (UK)","Mathematics for Machine Learning","2019","Cambridge University Press","","","",""
"Saul ‘00","L. K. Saul","S. T. Roweis","affiliated with the University of Toronto (CA)","An introduction to locally linear embedding","2000","unpublished","","","Available at: http://www.cs.toronto.edu/~ roweis/lle/publications. html.",""
"Van der Maaten '08","L.J.P. Van der Maaten","G.E. Hinton","Tilburg University (NL)","Visualizing Data Using t-SNE","2008","Journal of Machine Learning Research","9","2579–2605","",""
"Cliff ‘93","Norman Cliff","","University of Southern California (US)","Dominance Statistics: Ordinal Analyses to Answer Ordinal Questions","1993","Psychological Bulletin","114 (3)","494-509","",""
"Stigler ‘92","S. M. Stigler","","University of Chicago (US)","Francis Galton's Account of the Invention of Correlation","1989","Statistical Science","4 (2)","73–79","",""
"Spearman ‘04","C. Spearman","",,"The proof and measurement of association between two things","1904","The American journal of psychology","15(1)","72-101","",""
"Kendall ’38","M. G. Kendall","","University College London (UK)","A new measure of rank correlation","1938","Biometrika","30(1/2)","81-93","",""
"Shannon ’49","C. E. Shannon","","Bell Telephone Laboratories (US)","Communication theory of secrecy systems","1949","Bell system technical journal","28(4)","656-715","",""
"Bishop ’06","C.M. Bishop","","Microsoft Research Ltd (UK)","Pattern Recognition and Machine Learning","2006","Springer","","","",""
